config_jpeg,True detect,No detect,False detect
Original_None,0.0,0.0,16.0
Original_95,0.0,0.0,16.0
Original_90,0.0,0.0,16.0
bilinear_None,64.0,0.0,0.0
bilinear_95,7.0,0.0,57.0
bilinear_90,8.0,0.0,56.0
malvar_None,64.0,0.0,0.0
malvar_95,9.0,0.0,55.0
malvar_90,4.0,0.0,60.0
menon_None,64.0,0.0,0.0
menon_95,64.0,0.0,0.0
menon_90,64.0,0.0,0.0
RGGB_None,48.0,0.0,0.0
RGGB_95,48.0,0.0,0.0
RGGB_90,45.0,0.0,3.0
BGGR_None,48.0,0.0,0.0
BGGR_95,46.0,0.0,2.0
BGGR_90,43.0,0.0,5.0
GRBG_None,48.0,0.0,0.0
GRBG_95,47.0,0.0,1.0
GRBG_90,43.0,0.0,5.0
GBRG_None,48.0,0.0,0.0
GBRG_95,48.0,0.0,0.0
GBRG_90,44.0,0.0,4.0
0_None,96.0,0.0,0.0
0_95,94.0,0.0,2.0
0_90,89.0,0.0,7.0
1_None,96.0,0.0,0.0
1_95,94.0,0.0,2.0
1_90,90.0,0.0,6.0
