config_jpeg,True detect,No detect,False detect
Original_None,0.0,0.0,18.0
Original_95,0.0,0.0,18.0
Original_90,0.0,0.0,18.0
bilinear_None,72.0,0.0,0.0
bilinear_95,8.0,0.0,64.0
bilinear_90,8.0,0.0,64.0
malvar_None,72.0,0.0,0.0
malvar_95,16.0,0.0,56.0
malvar_90,4.0,0.0,68.0
menon_None,72.0,0.0,0.0
menon_95,72.0,0.0,0.0
menon_90,68.0,0.0,4.0
RGGB_None,54.0,0.0,0.0
RGGB_95,53.0,1.0,0.0
RGGB_90,44.0,10.0,0.0
BGGR_None,54.0,0.0,0.0
BGGR_95,51.0,3.0,0.0
BGGR_90,45.0,9.0,0.0
GRBG_None,54.0,0.0,0.0
GRBG_95,53.0,1.0,0.0
GRBG_90,44.0,10.0,0.0
GBRG_None,54.0,0.0,0.0
GBRG_95,52.0,2.0,0.0
GBRG_90,48.0,6.0,0.0
0_None,108.0,0.0,0.0
0_95,93.0,15.0,0.0
0_90,73.0,35.0,0.0
1_None,108.0,0.0,0.0
1_95,90.0,18.0,0.0
1_90,67.0,41.0,0.0
