nfa 1 image 0: None, None, None => bilinear, RGGB
nfa 0.01 image 0: None, None, None => bilinear, RGGB
nfa 1e-08 image 0: None, None, None => bilinear, RGGB
nfa 1 image 0: None, None, 95 => menon, RGGB
nfa 0.01 image 0: None, None, 95 => menon, RGGB
nfa 1e-08 image 0: None, None, 95 => menon, RGGB
nfa 1 image 0: None, None, 90 => menon, GBRG
nfa 0.01 image 0: None, None, 90 => menon, GBRG
nfa 1e-08 image 0: None, None, 90 => menon, GBRG
nfa 1 image 0: bilinear, RGGB, 95 => malvar, RGGB
nfa 0.01 image 0: bilinear, RGGB, 95 => malvar, RGGB
nfa 1e-08 image 0: bilinear, RGGB, 95 => malvar, RGGB
nfa 1 image 0: bilinear, RGGB, 90 => menon, RGGB
nfa 0.01 image 0: bilinear, RGGB, 90 => menon, RGGB
nfa 1e-08 image 0: bilinear, RGGB, 90 => menon, RGGB
nfa 1 image 0: bilinear, BGGR, 95 => malvar, BGGR
nfa 0.01 image 0: bilinear, BGGR, 95 => malvar, BGGR
nfa 1e-08 image 0: bilinear, BGGR, 95 => malvar, BGGR
nfa 1 image 0: bilinear, BGGR, 90 => menon, BGGR
nfa 0.01 image 0: bilinear, BGGR, 90 => menon, BGGR
nfa 1e-08 image 0: bilinear, BGGR, 90 => menon, BGGR
nfa 1 image 0: bilinear, GRBG, 95 => malvar, GRBG
nfa 0.01 image 0: bilinear, GRBG, 95 => malvar, GRBG
nfa 1e-08 image 0: bilinear, GRBG, 95 => malvar, GRBG
nfa 1 image 0: bilinear, GRBG, 90 => menon, GRBG
nfa 0.01 image 0: bilinear, GRBG, 90 => menon, GRBG
nfa 1e-08 image 0: bilinear, GRBG, 90 => menon, GRBG
nfa 1 image 0: bilinear, GBRG, 95 => malvar, GBRG
nfa 0.01 image 0: bilinear, GBRG, 95 => malvar, GBRG
nfa 1e-08 image 0: bilinear, GBRG, 95 => malvar, GBRG
nfa 1 image 0: bilinear, GBRG, 90 => menon, GBRG
nfa 0.01 image 0: bilinear, GBRG, 90 => menon, GBRG
nfa 1e-08 image 0: bilinear, GBRG, 90 => menon, GBRG
nfa 1 image 0: malvar, RGGB, 95 => menon, RGGB
nfa 0.01 image 0: malvar, RGGB, 95 => menon, RGGB
nfa 1e-08 image 0: malvar, RGGB, 95 => menon, RGGB
nfa 1 image 0: malvar, RGGB, 90 => menon, RGGB
nfa 0.01 image 0: malvar, RGGB, 90 => menon, RGGB
nfa 1e-08 image 0: malvar, RGGB, 90 => menon, RGGB
nfa 1 image 0: malvar, BGGR, 95 => menon, BGGR
nfa 0.01 image 0: malvar, BGGR, 95 => menon, BGGR
nfa 1e-08 image 0: malvar, BGGR, 95 => menon, BGGR
nfa 1 image 0: malvar, BGGR, 90 => menon, BGGR
nfa 0.01 image 0: malvar, BGGR, 90 => menon, BGGR
nfa 1e-08 image 0: malvar, BGGR, 90 => menon, BGGR
nfa 1 image 0: malvar, GRBG, 95 => menon, GRBG
nfa 0.01 image 0: malvar, GRBG, 95 => menon, GRBG
nfa 1e-08 image 0: malvar, GRBG, 95 => menon, GRBG
nfa 1 image 0: malvar, GRBG, 90 => menon, GRBG
nfa 0.01 image 0: malvar, GRBG, 90 => menon, GRBG
nfa 1e-08 image 0: malvar, GRBG, 90 => menon, GRBG
nfa 1 image 0: malvar, GBRG, 95 => menon, GBRG
nfa 0.01 image 0: malvar, GBRG, 95 => menon, GBRG
nfa 1e-08 image 0: malvar, GBRG, 95 => menon, GBRG
nfa 1 image 0: malvar, GBRG, 90 => menon, GBRG
nfa 0.01 image 0: malvar, GBRG, 90 => menon, GBRG
nfa 1e-08 image 0: malvar, GBRG, 90 => menon, GBRG
nfa 1 image 1: None, None, None => bilinear, GRBG
nfa 0.01 image 1: None, None, None => bilinear, GRBG
nfa 1e-08 image 1: None, None, None => bilinear, GRBG
nfa 1 image 1: None, None, 95 => menon, GBRG
nfa 0.01 image 1: None, None, 95 => menon, GBRG
nfa 1e-08 image 1: None, None, 95 => menon, GBRG
nfa 1 image 1: None, None, 90 => menon, BGGR
nfa 0.01 image 1: None, None, 90 => menon, BGGR
nfa 1e-08 image 1: None, None, 90 => menon, BGGR
nfa 1 image 1: bilinear, RGGB, 95 => malvar, RGGB
nfa 0.01 image 1: bilinear, RGGB, 95 => malvar, RGGB
nfa 1e-08 image 1: bilinear, RGGB, 95 => malvar, RGGB
nfa 1 image 1: bilinear, RGGB, 90 => malvar, RGGB
nfa 0.01 image 1: bilinear, RGGB, 90 => malvar, RGGB
nfa 1e-08 image 1: bilinear, RGGB, 90 => malvar, RGGB
nfa 1 image 1: bilinear, BGGR, 95 => malvar, BGGR
nfa 0.01 image 1: bilinear, BGGR, 95 => malvar, BGGR
nfa 1e-08 image 1: bilinear, BGGR, 95 => malvar, BGGR
nfa 1 image 1: bilinear, BGGR, 90 => malvar, BGGR
nfa 0.01 image 1: bilinear, BGGR, 90 => malvar, BGGR
nfa 1e-08 image 1: bilinear, BGGR, 90 => malvar, BGGR
nfa 1 image 1: bilinear, GRBG, 95 => malvar, GRBG
nfa 0.01 image 1: bilinear, GRBG, 95 => malvar, GRBG
nfa 1e-08 image 1: bilinear, GRBG, 95 => malvar, GRBG
nfa 1 image 1: bilinear, GRBG, 90 => menon, GRBG
nfa 0.01 image 1: bilinear, GRBG, 90 => menon, GRBG
nfa 1e-08 image 1: bilinear, GRBG, 90 => menon, GRBG
nfa 1 image 1: bilinear, GBRG, 95 => malvar, GBRG
nfa 0.01 image 1: bilinear, GBRG, 95 => malvar, GBRG
nfa 1e-08 image 1: bilinear, GBRG, 95 => malvar, GBRG
nfa 1 image 1: bilinear, GBRG, 90 => malvar, GBRG
nfa 0.01 image 1: bilinear, GBRG, 90 => malvar, GBRG
nfa 1e-08 image 1: bilinear, GBRG, 90 => malvar, GBRG
nfa 1 image 1: malvar, RGGB, 95 => menon, RGGB
nfa 0.01 image 1: malvar, RGGB, 95 => menon, RGGB
nfa 1e-08 image 1: malvar, RGGB, 95 => menon, RGGB
nfa 1 image 1: malvar, RGGB, 90 => menon, RGGB
nfa 0.01 image 1: malvar, RGGB, 90 => menon, RGGB
nfa 1e-08 image 1: malvar, RGGB, 90 => menon, RGGB
nfa 1 image 1: malvar, BGGR, 95 => menon, BGGR
nfa 0.01 image 1: malvar, BGGR, 95 => menon, BGGR
nfa 1e-08 image 1: malvar, BGGR, 95 => menon, BGGR
nfa 1 image 1: malvar, BGGR, 90 => menon, BGGR
nfa 0.01 image 1: malvar, BGGR, 90 => menon, BGGR
nfa 1e-08 image 1: malvar, BGGR, 90 => menon, BGGR
nfa 1 image 1: malvar, GRBG, 95 => menon, GRBG
nfa 0.01 image 1: malvar, GRBG, 95 => menon, GRBG
nfa 1e-08 image 1: malvar, GRBG, 95 => menon, GRBG
nfa 1 image 1: malvar, GRBG, 90 => menon, GRBG
nfa 0.01 image 1: malvar, GRBG, 90 => menon, GRBG
nfa 1e-08 image 1: malvar, GRBG, 90 => menon, GRBG
nfa 1 image 1: malvar, GBRG, 95 => menon, GBRG
nfa 0.01 image 1: malvar, GBRG, 95 => menon, GBRG
nfa 1e-08 image 1: malvar, GBRG, 95 => menon, GBRG
nfa 1 image 1: malvar, GBRG, 90 => menon, GBRG
nfa 0.01 image 1: malvar, GBRG, 90 => menon, GBRG
nfa 1e-08 image 1: malvar, GBRG, 90 => menon, GBRG
nfa 1 image 2: None, None, None => menon, GRBG
nfa 0.01 image 2: None, None, None => menon, GRBG
nfa 1e-08 image 2: None, None, None => menon, GRBG
nfa 1 image 2: None, None, 95 => menon, RGGB
nfa 0.01 image 2: None, None, 95 => menon, RGGB
nfa 1e-08 image 2: None, None, 95 => menon, RGGB
nfa 1 image 2: None, None, 90 => menon, RGGB
nfa 0.01 image 2: None, None, 90 => menon, RGGB
nfa 1e-08 image 2: None, None, 90 => menon, RGGB
nfa 1 image 2: bilinear, RGGB, 95 => menon, RGGB
nfa 0.01 image 2: bilinear, RGGB, 95 => menon, RGGB
nfa 1e-08 image 2: bilinear, RGGB, 95 => menon, RGGB
nfa 1 image 2: bilinear, RGGB, 90 => menon, RGGB
nfa 0.01 image 2: bilinear, RGGB, 90 => menon, RGGB
nfa 1e-08 image 2: bilinear, RGGB, 90 => menon, RGGB
nfa 1 image 2: bilinear, BGGR, 95 => menon, BGGR
nfa 0.01 image 2: bilinear, BGGR, 95 => menon, BGGR
nfa 1e-08 image 2: bilinear, BGGR, 95 => menon, BGGR
nfa 1 image 2: bilinear, BGGR, 90 => menon, BGGR
nfa 0.01 image 2: bilinear, BGGR, 90 => menon, BGGR
nfa 1e-08 image 2: bilinear, BGGR, 90 => menon, BGGR
nfa 1 image 2: bilinear, GRBG, 95 => menon, GRBG
nfa 0.01 image 2: bilinear, GRBG, 95 => menon, GRBG
nfa 1e-08 image 2: bilinear, GRBG, 95 => menon, GRBG
nfa 1 image 2: bilinear, GRBG, 90 => menon, GRBG
nfa 0.01 image 2: bilinear, GRBG, 90 => menon, GRBG
nfa 1e-08 image 2: bilinear, GRBG, 90 => menon, GRBG
nfa 1 image 2: bilinear, GBRG, 95 => menon, GBRG
nfa 0.01 image 2: bilinear, GBRG, 95 => menon, GBRG
nfa 1e-08 image 2: bilinear, GBRG, 95 => menon, GBRG
nfa 1 image 2: bilinear, GBRG, 90 => menon, GBRG
nfa 0.01 image 2: bilinear, GBRG, 90 => menon, GBRG
nfa 1e-08 image 2: bilinear, GBRG, 90 => menon, GBRG
nfa 1 image 2: malvar, RGGB, 95 => menon, RGGB
nfa 0.01 image 2: malvar, RGGB, 95 => menon, RGGB
nfa 1e-08 image 2: malvar, RGGB, 95 => menon, RGGB
nfa 1 image 2: malvar, RGGB, 90 => menon, RGGB
nfa 0.01 image 2: malvar, RGGB, 90 => menon, RGGB
nfa 1e-08 image 2: malvar, RGGB, 90 => menon, RGGB
nfa 1 image 2: malvar, BGGR, 95 => menon, BGGR
nfa 0.01 image 2: malvar, BGGR, 95 => menon, BGGR
nfa 1e-08 image 2: malvar, BGGR, 95 => menon, BGGR
nfa 1 image 2: malvar, BGGR, 90 => menon, BGGR
nfa 0.01 image 2: malvar, BGGR, 90 => menon, BGGR
nfa 1e-08 image 2: malvar, BGGR, 90 => menon, BGGR
nfa 1 image 2: malvar, GRBG, 95 => menon, GRBG
nfa 0.01 image 2: malvar, GRBG, 95 => menon, GRBG
nfa 1e-08 image 2: malvar, GRBG, 95 => menon, GRBG
nfa 1 image 2: malvar, GRBG, 90 => menon, GRBG
nfa 0.01 image 2: malvar, GRBG, 90 => menon, GRBG
nfa 1e-08 image 2: malvar, GRBG, 90 => menon, GRBG
nfa 1 image 2: malvar, GBRG, 95 => menon, GBRG
nfa 0.01 image 2: malvar, GBRG, 95 => menon, GBRG
nfa 1e-08 image 2: malvar, GBRG, 95 => menon, GBRG
nfa 1 image 2: malvar, GBRG, 90 => menon, GBRG
nfa 0.01 image 2: malvar, GBRG, 90 => menon, GBRG
nfa 1e-08 image 2: malvar, GBRG, 90 => menon, GBRG
nfa 1 image 3: None, None, None => bilinear, RGGB
nfa 0.01 image 3: None, None, None => bilinear, RGGB
nfa 1e-08 image 3: None, None, None => bilinear, RGGB
nfa 1 image 3: None, None, 95 => menon, RGGB
nfa 0.01 image 3: None, None, 95 => menon, RGGB
nfa 1e-08 image 3: None, None, 95 => menon, RGGB
nfa 1 image 3: None, None, 90 => menon, RGGB
nfa 0.01 image 3: None, None, 90 => menon, RGGB
nfa 1e-08 image 3: None, None, 90 => menon, RGGB
nfa 1 image 3: bilinear, RGGB, 95 => menon, RGGB
nfa 0.01 image 3: bilinear, RGGB, 95 => menon, RGGB
nfa 1e-08 image 3: bilinear, RGGB, 95 => menon, RGGB
nfa 1 image 3: bilinear, RGGB, 90 => bilinear, BGGR
nfa 0.01 image 3: bilinear, RGGB, 90 => bilinear, BGGR
nfa 1 image 3: bilinear, BGGR, 90 => bilinear, RGGB
nfa 0.01 image 3: bilinear, BGGR, 90 => bilinear, RGGB
nfa 1 image 3: bilinear, GRBG, 95 => bilinear, RGGB
nfa 1 image 3: bilinear, GRBG, 90 => bilinear, GBRG
nfa 1 image 3: bilinear, GBRG, 90 => bilinear, GRBG
nfa 1 image 3: malvar, RGGB, 95 => menon, RGGB
nfa 0.01 image 3: malvar, RGGB, 95 => menon, RGGB
nfa 1e-08 image 3: malvar, RGGB, 95 => menon, RGGB
nfa 1 image 3: malvar, RGGB, 90 => menon, RGGB
nfa 0.01 image 3: malvar, RGGB, 90 => menon, RGGB
nfa 1e-08 image 3: malvar, RGGB, 90 => menon, RGGB
nfa 1 image 3: malvar, BGGR, 95 => menon, BGGR
nfa 0.01 image 3: malvar, BGGR, 95 => menon, BGGR
nfa 1e-08 image 3: malvar, BGGR, 95 => menon, BGGR
nfa 1 image 3: malvar, BGGR, 90 => menon, BGGR
nfa 0.01 image 3: malvar, BGGR, 90 => menon, BGGR
nfa 1e-08 image 3: malvar, BGGR, 90 => menon, BGGR
nfa 1 image 3: malvar, GRBG, 95 => menon, GRBG
nfa 0.01 image 3: malvar, GRBG, 95 => menon, GRBG
nfa 1e-08 image 3: malvar, GRBG, 95 => menon, GRBG
nfa 1 image 3: malvar, GRBG, 90 => menon, GRBG
nfa 0.01 image 3: malvar, GRBG, 90 => menon, GRBG
nfa 1e-08 image 3: malvar, GRBG, 90 => menon, GRBG
nfa 1 image 3: malvar, GBRG, 95 => menon, GBRG
nfa 0.01 image 3: malvar, GBRG, 95 => menon, GBRG
nfa 1e-08 image 3: malvar, GBRG, 95 => menon, GBRG
nfa 1 image 3: malvar, GBRG, 90 => menon, GBRG
nfa 0.01 image 3: malvar, GBRG, 90 => menon, GBRG
nfa 1e-08 image 3: malvar, GBRG, 90 => menon, GBRG
nfa 1 image 3: menon, RGGB, 95 => menon, RGGB
nfa 1 image 3: menon, RGGB, 90 => menon, RGGB
nfa 1 image 3: menon, GBRG, 95 => menon, GBRG
nfa 1 image 4: None, None, None => menon, RGGB
nfa 0.01 image 4: None, None, None => menon, RGGB
nfa 1e-08 image 4: None, None, None => menon, RGGB
nfa 1 image 4: None, None, 95 => menon, RGGB
nfa 0.01 image 4: None, None, 95 => menon, RGGB
nfa 1e-08 image 4: None, None, 95 => menon, RGGB
nfa 1 image 4: None, None, 90 => menon, GBRG
nfa 0.01 image 4: None, None, 90 => menon, GBRG
nfa 1e-08 image 4: None, None, 90 => menon, GBRG
nfa 1 image 4: bilinear, RGGB, 95 => malvar, RGGB
nfa 0.01 image 4: bilinear, RGGB, 95 => malvar, RGGB
nfa 1e-08 image 4: bilinear, RGGB, 95 => malvar, RGGB
nfa 1 image 4: bilinear, RGGB, 90 => malvar, RGGB
nfa 0.01 image 4: bilinear, RGGB, 90 => malvar, RGGB
nfa 1e-08 image 4: bilinear, RGGB, 90 => malvar, RGGB
nfa 1 image 4: bilinear, BGGR, 95 => malvar, BGGR
nfa 0.01 image 4: bilinear, BGGR, 95 => malvar, BGGR
nfa 1e-08 image 4: bilinear, BGGR, 95 => malvar, BGGR
nfa 1 image 4: bilinear, BGGR, 90 => malvar, BGGR
nfa 0.01 image 4: bilinear, BGGR, 90 => malvar, BGGR
nfa 1e-08 image 4: bilinear, BGGR, 90 => malvar, BGGR
nfa 1 image 4: bilinear, GRBG, 95 => malvar, GRBG
nfa 0.01 image 4: bilinear, GRBG, 95 => malvar, GRBG
nfa 1e-08 image 4: bilinear, GRBG, 95 => malvar, GRBG
nfa 1 image 4: bilinear, GRBG, 90 => malvar, GRBG
nfa 0.01 image 4: bilinear, GRBG, 90 => malvar, GRBG
nfa 1e-08 image 4: bilinear, GRBG, 90 => malvar, GRBG
nfa 1 image 4: bilinear, GBRG, 95 => malvar, GBRG
nfa 0.01 image 4: bilinear, GBRG, 95 => malvar, GBRG
nfa 1e-08 image 4: bilinear, GBRG, 95 => malvar, GBRG
nfa 1 image 4: bilinear, GBRG, 90 => malvar, GBRG
nfa 0.01 image 4: bilinear, GBRG, 90 => malvar, GBRG
nfa 1e-08 image 4: bilinear, GBRG, 90 => malvar, GBRG
nfa 1 image 4: malvar, RGGB, 95 => menon, RGGB
nfa 0.01 image 4: malvar, RGGB, 95 => menon, RGGB
nfa 1e-08 image 4: malvar, RGGB, 95 => menon, RGGB
nfa 1 image 4: malvar, RGGB, 90 => menon, RGGB
nfa 0.01 image 4: malvar, RGGB, 90 => menon, RGGB
nfa 1e-08 image 4: malvar, RGGB, 90 => menon, RGGB
nfa 1 image 4: malvar, BGGR, 95 => menon, BGGR
nfa 0.01 image 4: malvar, BGGR, 95 => menon, BGGR
nfa 1e-08 image 4: malvar, BGGR, 95 => menon, BGGR
nfa 1 image 4: malvar, BGGR, 90 => menon, BGGR
nfa 0.01 image 4: malvar, BGGR, 90 => menon, BGGR
nfa 1e-08 image 4: malvar, BGGR, 90 => menon, BGGR
nfa 1 image 4: malvar, GRBG, 95 => menon, GRBG
nfa 0.01 image 4: malvar, GRBG, 95 => menon, GRBG
nfa 1e-08 image 4: malvar, GRBG, 95 => menon, GRBG
nfa 1 image 4: malvar, GRBG, 90 => menon, GRBG
nfa 0.01 image 4: malvar, GRBG, 90 => menon, GRBG
nfa 1e-08 image 4: malvar, GRBG, 90 => menon, GRBG
nfa 1 image 4: malvar, GBRG, 95 => menon, GBRG
nfa 0.01 image 4: malvar, GBRG, 95 => menon, GBRG
